date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:12	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a34.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/sponsoren.html)
23:45:12	48448/48448	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2021:45:11%20GMT	http://archiv.tdh-murgtal.de/aktuelles/2008/12/index.html	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2008/12/index.html	(from http://archiv.tdh-murgtal.de/aktuelles/2008/01/index.html)
23:45:12	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a35.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/sponsoren.html)
23:45:13	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2027%20Apr%202019%2021:45:11%20GMT	http://archiv.tdh-murgtal.de/aktuelles/2008/01/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2008/01/_/images._/pixel.gif	(from http://archiv.tdh-murgtal.de/aktuelles/2008/01/index.html)
23:45:13	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a36.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/sponsoren.html)
23:45:13	37688/37688	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2021:45:11%20GMT	http://archiv.tdh-murgtal.de/aktuelles/2008/11/index.html	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2008/11/index.html	(from http://archiv.tdh-murgtal.de/aktuelles/2008/01/index.html)
23:45:13	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a37.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/sponsoren.html)
23:45:13	33740/33740	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2021:45:12%20GMT	http://archiv.tdh-murgtal.de/aktuelles/2008/10/index.html	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2008/10/index.html	(from http://archiv.tdh-murgtal.de/aktuelles/2008/01/index.html)
23:45:13	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a38.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/sponsoren.html)
23:45:13	48873/48873	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2021:45:12%20GMT	http://archiv.tdh-murgtal.de/aktuelles/2008/09/index.html	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2008/09/index.html	(from http://archiv.tdh-murgtal.de/aktuelles/2008/01/index.html)
23:45:13	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a39.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/sponsoren.html)
23:45:13	34604/34604	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2021:45:12%20GMT	http://archiv.tdh-murgtal.de/aktuelles/2008/08/index.html	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2008/08/index.html	(from http://archiv.tdh-murgtal.de/aktuelles/2008/01/index.html)
23:45:14	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a3a.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/sponsoren.html)
23:45:14	34628/34628	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2021:45:12%20GMT	http://archiv.tdh-murgtal.de/aktuelles/2008/07/index.html	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2008/07/index.html	(from http://archiv.tdh-murgtal.de/aktuelles/2008/01/index.html)
23:45:14	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a3b.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/sponsoren.html)
23:45:14	46048/46048	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2021:45:12%20GMT	http://archiv.tdh-murgtal.de/aktuelles/2008/06/index.html	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2008/06/index.html	(from http://archiv.tdh-murgtal.de/aktuelles/2008/01/index.html)
23:45:14	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a3c.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/sponsoren.html)
